BlockID,FemaleID,MaleID,QG_Meth,Cross_ID_auto,DateCross,TimeCross,DateMethFreeze,TimeMethFreeze,Notes,DatetimeCross,DatetimeFreeze,LarvaeDNAAge_hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM01_B1,Meth,CF01_CM01_B1_Meth,20180710,12:24,20180710,20:30,"mistake with filter tip, may have added too little or too much sperm",7/10/2018 12:24:00,7/10/2018 20:30:00,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM01_B1,QG,CF01_CM01_B1_QG,20180710,12:14,20180710,20:30,combined with meth sample,7/10/2018 12:14:00,7/10/2018 20:30:00,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM02_B1,QG,CF01_CM02_B1_QG,20180710,12:28,20180713,17:00,,7/10/2018 12:28:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF01_B1,CM03_B1,QG,CF01_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM02_B1,Meth,CF02_CM02_B1_Meth,20180710,12:32,20180710,20:30,,7/10/2018 12:32:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM02_B1,QG,CF02_CM02_B1_QG,20180710,12:28,20180710,20:30,combined with meth sample,7/10/2018 12:28:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM03_B1,QG,CF02_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF02_B1,CM04_B1,QG,CF02_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF03_B1,CM03_B1,Meth,CF03_CM03_B1_Meth,20180710,12:36,20180710,20:30,,7/10/2018 12:36:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF03_B1,CM03_B1,QG,CF03_CM03_B1_QG,20180710,12:36,20180710,20:30,combined with meth sample,7/10/2018 12:36:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8
B1,CF03_B1,CM04_B1,QG,CF03_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,EM1,X+,,,,,,,,X,,,,,,,
B1,CF03_B1,CM05_B1,QG,CF03_CM05_B1_QG,20180710,12:43,20180713,17:00,,7/10/2018 12:43:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,EM2,,X+,,,,,,,,X,,,,,,
B1,CF04_B1,CM01_B1,QG,CF04_CM01_B1_QG,20180710,12:15,20180713,17:00,,7/10/2018 12:15:00,7/13/2018 17:00:00,76.8,,,,,,,,,,,,,,,,,,,EM3,,,X+,,,,,,,,X,,,,,
B1,CF04_B1,CM04_B1,Meth,CF04_CM04_B1_Meth,20180710,12:40,20180710,20:30,"cell strainer filter for methylation may be contaminated, bag exploded.",7/10/2018 12:40:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,EM4,,,,X+,,,,,,,,X,,,,
B1,CF04_B1,CM04_B1,QG,CF04_CM04_B1_QG,20180710,12:40,20180710,20:30,combined with meth sample,7/10/2018 12:40:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,EM5,,,,,X+,,,,,,,,X,,,
B1,CF04_B1,CM05_B1,QG,CF04_CM05_B1_QG,20180710,12:43,20180713,17:00,,7/10/2018 12:43:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,EM6,,,,,,X,,,,,,,,X,,
B1,CF05_B1,CM01_B1,QG,CF05_CM01_B1_QG,20180710,12:12,20180713,17:00,,7/10/2018 12:12:00,7/13/2018 17:00:00,76.8,,,,,,,,,,,,,,,,,,,EM7,,,,,,,x,,,,,,,,x,
B1,CF05_B1,CM02_B1,QG,CF05_CM02_B1_QG,20180710,12:27,20180713,17:00,,7/10/2018 12:27:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,EM8,,,,,,,,x,,,,,,,,x
B1,CF05_B1,CM05_B1,Meth,CF05_CM05_B1_Meth,20180710,12:44,20180710,20:30,,7/10/2018 12:44:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,CM1,X,,,,,,,,X+,,,,,,,
B1,CF05_B1,CM05_B1,QG,CF05_CM05_B1_QG,20180710,12:43,20180710,20:30,combined with meth sample,7/10/2018 12:43:00,7/10/2018 20:30:00,7.8,,,,,,,,,,,,,,,,,,,CM2,,X,,,,,,,,X+,,,,,,
B1,CF06_B1,CM01_B1,Meth,CF06_CM01_B1_Meth,20180710,12:23,20180710,20:30,,7/10/2018 12:23:00,7/10/2018 20:30:00,8.1,,,,,,,,,,,,,,,,,,,CM3,,,X,,,,,,,,X+,,,,,
B1,CF06_B1,CM01_B1,QG,CF06_CM01_B1_QG,20180710,12:13,20180710,20:30,combined with meth sample,7/10/2018 12:13:00,7/10/2018 20:30:00,8.3,,,,,,,,,,,,,,,,,,,CM4,,,,X,,,,,,,,X+,,,,
B1,CF06_B1,CM02_B1,QG,CF06_CM02_B1_QG,20180710,12:31,20180713,17:00,,7/10/2018 12:31:00,7/13/2018 17:00:00,76.5,,,,,,,,,,,,,,,,,,,CM5,,,,,X,,,,,,,,X+,,,
B1,CF06_B1,CM03_B1,QG,CF06_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,CM6,,,,,,X,,,,,,,,X,,
B1,CF07_B1,CM02_B1,Meth,CF07_CM02_B1_Meth,20180710,12:33,20180710,20:30,,7/10/2018 12:33:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,CM7,,,,,,,x,,,,,,,,x,
B1,CF07_B1,CM02_B1,QG,CF07_CM02_B1_QG,20180710,12:31,20180710,20:30,combined with meth sample,7/10/2018 12:31:00,7/10/2018 20:30:00,8,,,,,,,,,,,,,,,,,,,CM8,,,,,,,,x,,,,,,,,x
B1,CF07_B1,CM03_B1,QG,CF07_CM03_B1_QG,20180710,12:35,20180713,17:00,,7/10/2018 12:35:00,7/13/2018 17:00:00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF07_B1,CM04_B1,QG,CF07_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM03_B1,Meth,CF08_CM03_B1_Meth,20180710,12:37,20180710,20:30,,7/10/2018 12:37:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM03_B1,QG,CF08_CM03_B1_QG,20180710,12:36,20180710,20:30,combined with meth sample,7/10/2018 12:36:00,7/10/2018 20:30:00,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM04_B1,QG,CF08_CM04_B1_QG,20180710,12:40,20180713,17:00,,7/10/2018 12:40:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,CF08_B1,CM05_B1,QG,CF08_CM05_B1_QG,20180710,12:43,20180713,17:00,,7/10/2018 12:43:00,7/13/2018 17:00:00,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,EF01_B1,EM01_B1,Meth,EF01_EM01_B1_Meth,20180710,11:46,20180710,20:30,,7/10/2018 11:46:00,7/10/2018 20:30:00,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
