Well	Well Type	Well Name	Dye 	Target	Replicate	R Last          	∆R Last          	Rn Last     	∆Rn Last    	RLast/RFirst     	Threshold (∆R)  	Baseline Start Cycle	Baseline End Cycle	Cq (∆R)	Final Call (∆R)	Quantity (picograms)	Quantity Avg. (picograms)	Quantity SD (picograms)	R² (∆R)	Slope (∆R)	Efficiency (%)	Cq Avg. Treated Ind. (∆R)	Cq SD Treated Ind. (∆R)	Melt Smoothing #	Melt Norm.	Tm Product 1 (-R'(T))	Tm Product 2 (-R'(T))	Tm Product 3 (-R'(T))	Tm Product 4 (-R'(T))	Tm Product 5 (-R'(T))	Tm Product 6 (-R'(T))	
A1  	Standard 	---      	SYBR	SYBR  	---      	8468.96640690193	6168.07483250194 	No Reference	No Reference	6.35684206303719 	1148.62047862044	2                   	5                 	9.53   	+              	20                  	20                       	0                      	1      	-3.444    	95.1          	9.52995411136403         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
A2  	Standard 	---      	SYBR	SYBR  	---      	8248.43196704249	6128.4200374425  	No Reference	No Reference	6.40485772071258 	1148.62047862044	2                   	5                 	9.58   	+              	20                  	20                       	0                      	1      	-3.444    	95.1          	9.58435504474634         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
A3  	Standard 	---      	SYBR	SYBR  	---      	8788.89564333964	6595.56906093965 	No Reference	No Reference	6.78438210623226 	1148.62047862044	2                   	5                 	9.48   	+              	20                  	20                       	0                      	1      	-3.444    	95.1          	9.47812049986134         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
A4  	Unknown  	---      	SYBR	SYBR  	---      	7085.98700596245	5135.75759530007 	No Reference	No Reference	5.53627336549351 	1148.62047862044	6                   	9                 	13.56  	+              	1.35692823042368    	1.35692823042368         	N/A                    	1      	-3.444    	95.1          	13.5625607705296         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
A5  	Unknown  	---      	SYBR	SYBR  	---      	6780.75113424957	5137.5375821362  	No Reference	No Reference	5.39920305622318 	1148.62047862044	4                   	9                 	13.56  	+              	1.35784906005923    	1.35784906005923         	N/A                    	1      	-3.444    	95.1          	13.5615460998178         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
A6  	Unknown  	---      	SYBR	SYBR  	---      	7790.67600277537	5813.89325738014 	No Reference	No Reference	6.1095674290092  	1148.62047862044	6                   	9                 	13.45  	+              	1.46091914283045    	1.46091914283045         	N/A                    	1      	-3.444    	95.1          	13.4521134391941         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
A7  	Unknown  	---      	SYBR	SYBR  	---      	888.857111577574	1.06613441284196 	No Reference	No Reference	0.964534487463999	1148.62047862044	2                   	35                	No Cq  	-              	No Cq               	No Cq                    	No Cq                  	1      	-3.444    	95.1          	No Cq                    	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B1  	Standard 	---      	SYBR	SYBR  	---      	9187.19652340517	6801.96395464999 	No Reference	No Reference	7.10445460995172 	1148.62047862044	6                   	9                 	12.94  	+              	2                   	2                        	0                      	1      	-3.444    	95.1          	12.9384511229414         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B2  	Standard 	---      	SYBR	SYBR  	---      	10056.2595385552	7559.96152836639 	No Reference	No Reference	7.44059335169895 	1148.62047862044	6                   	9                 	12.86  	+              	2                   	2                        	0                      	1      	-3.444    	95.1          	12.8564941344278         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B3  	Standard 	---      	SYBR	SYBR  	---      	9737.40517142576	7235.72123639859 	No Reference	No Reference	7.10624638493845 	1148.62047862044	6                   	9                 	12.88  	+              	2                   	2                        	0                      	1      	-3.444    	95.1          	12.8775968492637         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B4  	Unknown  	---      	SYBR	SYBR  	---      	8892.49063242582	6515.79959736661 	No Reference	No Reference	6.72217062457541 	1148.62047862044	6                   	9                 	12.87  	+              	2.15019005756016    	2.15019005756016         	N/A                    	1      	-3.444    	95.1          	12.8740323017214         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B5  	Unknown  	---      	SYBR	SYBR  	---      	7756.03330914708	5445.19458062228 	No Reference	No Reference	5.94177249540126 	1148.62047862044	6                   	9                 	12.98  	+              	2.00687752877974    	2.00687752877974         	N/A                    	1      	-3.444    	95.1          	12.9772013065407         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B6  	Unknown  	---      	SYBR	SYBR  	---      	7803.05026807432	5736.28614409351 	No Reference	No Reference	5.97870747051988 	1148.62047862044	6                   	9                 	13.41  	+              	1.49785293546005    	1.49785293546005         	N/A                    	1      	-3.444    	95.1          	13.4147699424736         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
B7  	Unknown  	---      	SYBR	SYBR  	---      	1442.99943215054	1.64886010424948 	No Reference	No Reference	0.972135756925905	1148.62047862044	2                   	35                	No Cq  	-              	No Cq               	No Cq                    	No Cq                  	1      	-3.444    	95.1          	No Cq                    	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
